time,ID_PRODUCTO,COD_CLIENTE,FECHA_REAL,VALOR_VENTA,VALOR_FINANCIADO
24,4288368,170599, 22/04/2015,589899,589899
2,559922,531817, 31/03/2015,783973,783973
2,3215258,559658, 31/03/2015,1013472,1013472
2,3319607,199919, 31/03/2015,1400000,1400000
24,4288367,343506, 22/04/2015,999899,0
24,4288367,343506, 22/04/2015,105900,1105799
24,4288364,364102, 22/04/2015,893700,893700
24,3398746,317677, 22/04/2015,499900,0
24,3398746,317677, 22/04/2015,164900,664800
2,3639480,572592, 31/03/2015,1527402,1400000
2,3148477,549354, 31/03/2015,411328,411328
2,3519860,110170, 31/03/2015,595914,595914
2,3339115,425169, 31/03/2015,1400000,1400000
2,4280142,225694, 31/03/2015,1175201,1175201
2,584789,511618, 31/03/2015,552825,552825
2,3247315,232240, 31/03/2015,977481,977481
2,555260,523824, 31/03/2015,1400000,1400000
2,4280117,562098, 31/03/2015,746568,746568
24,3157364,225194, 22/04/2015,1410200,1400000
19,4287001,497880, 17/04/2015,1335000,1300000
2,3708316,443702, 31/03/2015,920850,920850
2,4280086,511403, 31/03/2015,352531,352531
2,3590474,198415, 31/03/2015,988781,988781
24,3265152,486048, 22/04/2015,1400000,1400000
24,4086570,608242, 22/04/2015,149900,149900
24,3489568,563759, 22/04/2015,1228129,1228129
23,4287904,341898, 21/04/2015,580000,580000
22,4287481,139754, 20/04/2015,218000,0
22,4287481,139754, 20/04/2015,82000,300000
20,4287113,305141, 18/04/2015,1600000,1600000
17,1124371,407193, 15/04/2015,240000,240000
24,640352,547358, 22/04/2015,451159,451159
24,3547828,337614, 22/04/2015,535000,535000
24,3104578,611872, 22/04/2015,570000,570000
0,4279454,581367, 29/03/2015,1300000,1300000
24,4288307,418976, 22/04/2015,1300000,1300000
24,3700642,432443, 22/04/2015,1350200,1350200
24,3770798,439490, 22/04/2015,1046300,1046300
18,4287281,241435, 16/04/2015,1039999,1039999
24,4288298,611269, 22/04/2015,1333400,1333400
24,3161142,472317, 22/04/2015,973100,973100
15,4287133,85474, 13/04/2015,603983,603983
10,4287185,215641, 08/04/2015,1238332,1238332
24,3684328,289081, 22/04/2015,1070054,1070054
19,3556335,389984, 17/04/2015,719999,719999
20,3074581,298003, 18/04/2015,866999,866999
12,3095009,294762, 10/04/2015,1500000,1500000
18,4213792,260535, 16/04/2015,1000000,1000000
12,3659152,243584, 10/04/2015,809999,809999
12,4284490,204693, 10/04/2015,1299999,1299999
17,3875495,339201, 15/04/2015,1279000,1279000
8,3666463,214489, 06/04/2015,780000,780000
24,642549,536046, 22/04/2015,644350,644350
12,4285906,785841, 10/04/2015,1300000,1300000
16,4287152,80719, 14/04/2015,480000,480000
2,4066531,244453, 31/03/2015,384001,384001
19,4287224,210083, 17/04/2015,1324000,1324000
17,4286938,78255, 15/04/2015,611000,611000
18,4287209,125716, 16/04/2015,435000,435000
10,4165345,204019, 08/04/2015,867000,867000
24,4284391,779628, 22/04/2015,219400,215900
24,3136063,377185, 22/04/2015,244900,244900
24,550302,576503, 22/04/2015,183500,183500
24,4288235,604222, 22/04/2015,391416,391416
24,600196,483490, 22/04/2015,142650,142650
23,3211307,274823, 21/04/2015,1174000,1174000
-3,4267734,232818, 26/03/2015,629000,0
-3,4267734,232818, 26/03/2015,610000,1239000
23,3146586,412495, 21/04/2015,301000,0
23,3146586,412495, 21/04/2015,1399000,1700000
23,4017793,305824, 21/04/2015,289900,289900
23,3244827,309369, 21/04/2015,1489900,1421313
23,4288203,296992, 21/04/2015,882899,0
23,4288203,296992, 21/04/2015,882899,1399998
23,3520297,481282, 21/04/2015,969900,969900
23,4288201,426758, 21/04/2015,592500,592500
23,3945674,587472, 21/04/2015,139899,139899
23,3223094,534498, 21/04/2015,184899,0
23,3223094,534498, 21/04/2015,184899,369799
23,4288193,529479, 21/04/2015,979900,0
23,4288193,529479, 21/04/2015,349899,1329799
23,608005,571554, 21/04/2015,725000,725000
23,4288192,176750, 21/04/2015,1249900,1249900
23,4162713,596435, 21/04/2015,430830,430830
23,3149468,303651, 21/04/2015,535000,535000
22,4287410,424075, 20/04/2015,1400000,1400000
22,3067125,470137, 20/04/2015,476070,476070
22,4285708,519781, 20/04/2015,773271,773271
22,4287756,439934, 20/04/2015,1394307,1394307
23,3542647,57644, 21/04/2015,711114,711114
23,3387192,272635, 21/04/2015,1368100,1368100
23,3809250,432982, 21/04/2015,125688,125688
23,3559197,425843, 21/04/2015,369800,369800
23,3344241,560747, 21/04/2015,1500000,1500000
